Attribute,Value
timestamp,2024-11-07T11:29:20
project_name,codecarbon
run_id,2d6d643f-acbc-49b4-8627-e46fe95bdf92
experiment_id,5b0fa12a-3dd7-45bb-9766-cc326314d9f1
duration,0.14742779999505728
emissions,2.0976451367814492e-08
emissions_rate,1.4228287587902522e-07
cpu_power,7.5
gpu_power,0.0
ram_power,6.730809688568115
cpu_energy,3.0441354174399747e-07
gpu_energy,0
ram_energy,2.2668357414780443e-07
energy_consumed,5.310971158918019e-07
country_name,Canada
country_iso_code,CAN
region,ontario
cloud_provider,
cloud_region,
os,Windows-11-10.0.22631-SP0
python_version,3.13.0
codecarbon_version,2.7.2
cpu_count,8
cpu_model,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx
gpu_count,
gpu_model,
longitude,-79.9441
latitude,43.266
ram_total_size,17.94882583618164
tracking_mode,machine
on_cloud,N
pue,1.0
