Attribute,Value
timestamp,2024-11-06T16:12:15
project_name,codecarbon
run_id,17675603-c8ac-45c4-ae28-5b9fafa264d2
experiment_id,5b0fa12a-3dd7-45bb-9766-cc326314d9f1
duration,0.1571239999611862
emissions,2.2439585954258806e-08
emissions_rate,1.4281450293909256e-07
cpu_power,7.5
gpu_power,0.0
ram_power,6.730809688568115
cpu_energy,3.2567562496600047e-07
gpu_energy,0
ram_energy,2.4246620098645654e-07
energy_consumed,5.68141825952457e-07
country_name,Canada
country_iso_code,CAN
region,ontario
cloud_provider,
cloud_region,
os,Windows-11-10.0.22631-SP0
python_version,3.13.0
codecarbon_version,2.7.2
cpu_count,8
cpu_model,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx
gpu_count,
gpu_model,
longitude,-79.9441
latitude,43.266
ram_total_size,17.94882583618164
tracking_mode,machine
on_cloud,N
pue,1.0
